artifact_path,sha256,bytes,use
docs/audits/p97-exact17-cegar-piqd-soundness-audit-2026-08-12.md,54f3c7c4b6b1be18ce2d8a491b8ffbcc15194334861fcd594cc05b79a0131e64,24875,source-boundary or report evidence
docs/closure-matrix-2026-07-09.md,0001ddfebfc44d748020b2c85ac94a5f9a309b608fb259f2838cec45f6cd3389,415671,source-boundary or report evidence
docs/closure-plan-full-spec-2026-07-09.md,0f3a3a98c812869470d64fd76e162f4140802d47e2993c79871dc8a6f672b5fe,580686,source-boundary or report evidence
docs/computational-closure-plan-2026-07-28.md,db3b25c8adba1d9d1d2a1e620fcb2387687c27ec95d759f6ee3ef4252928a448,951141,source-boundary or report evidence
docs/exact-twelve-rigid221-ordered-v4-replay-checkpoint-2026-08-08.md,f72db49bd3ac6e0608e1e5564ee81711a5d07d57bc6eac8165c1e4015876350b,6909,source-boundary or report evidence
docs/exact12-next-row-arm-terminal-promotion-2026-08-13.md,ea56e461454128fdbdf52bd1d6f6063bb97d6fb26bee5bf4f7ec56811e493ae5,7131,source-boundary or report evidence
docs/exact12-v26-projected-model-space-2026-08-20.md,aacbf10d31fb6091a20265d3886ed414cb95a105ada61522e3fa5add87a15d29,4352,source-boundary or report evidence
docs/exact12-v26-survivor-structural-analysis-2026-08-20.md,6e92f22d6b971093be4301a4f109c495855040037a17b453a72cf2745823006a,11642,source-boundary or report evidence
docs/specs/p97-card-ge-eighteen-coverage-route-v1.md,f057317026a234d67e4bacf91107536a22511109ee7200db6b058e96859b076c,23180,source-boundary or report evidence
lean/Erdos9796Proof/P97/ATail/BlockerVExactSeventeenSourceNormalForm.lean,92cf2a9ce4e16d27d8d15c15880631eae0f534e377c9d7c4561bd863a6a567ab,37287,source-boundary or report evidence
lean/Erdos9796Proof/P97/ATail/FrontierLiveClosure/Rigid221Closure.lean,cafeac3e4bbcabfbe6ffcf1443e4d9b93c717627e5144c6158040aff5676efa8,74900,source-boundary or report evidence
