Problem97.U5QCriticalTripleClass.qcritical_exact_selected_right_exact_center_incompatibility	lean/RVOL/P97/U5GlobalIncidenceQCriticalExactSelectedRightExactCenter.lean	27	true	source-proved	theorem U5QCriticalTripleClass.qcritical_exact_selected_right_exact_center_incompatibility {D : CounterexampleData} {q p t₁ t₂ t₃ u : ℝ²} {T B₁ B₂ B₃ : Finset ℝ²} (htriple : U5DangerousTriple D q p T) (ht₁ : t₁ ∈ T) (ht₂ : t₂ ∈ T) (ht₃ : t₃ ∈ T) (ht₁_ne_t₃ : t₁ ≠ t₃) (hu_mem : u ∈ (D.skeleton q).erase p) (K₁ : U5QCriticalTripleClass D q t₁ B₁) (K₂ : U5QDeletedK4Class D q t₂ B₂) (K₃ : U5QDeletedK4Class D q t₃ B₃) (hpB₁ : p ∈ B₁) (ht₂B₁ : t₂ ∈ B₁) (huB₁ : u ∈ B₁) (hpB₂ : p ∈ B₂) (huB₂ : u ∈ B₂) (ht₁B₃ : t₁ ∈ B₃) (ht₂B₃ : t₂ ∈ B₃) (huB₃ : u ∈ B₃) : False
Problem97.u5_qcritical_exact_selected_right_exact_center_metric_incompatibility	lean/RVOL/P97/U5GlobalIncidenceQCriticalExactSelectedRightExactCenterMetric.lean	30	true	source-proved	theorem u5_qcritical_exact_selected_right_exact_center_metric_incompatibility {p q t₁ t₂ t₃ u : ℝ²} {r : ℝ} (hr : 0 < r) (hpq : dist p q = r) (hpt₁ : dist p t₁ = r) (hpt₂ : dist p t₂ = r) (hpt₃ : dist p t₃ = r) (ht₁q : dist t₁ q = r) (ht₁t₂ : dist t₁ t₂ = r) (hq_ne_t₂ : q ≠ t₂) (ht₁_ne_t₃ : t₁ ≠ t₃) (hu_ne_p : u ≠ p) (ht₁uq : dist t₁ u = dist t₁ q) (ht₂u : dist t₂ u = r) (ht₃t₁t₂ : dist t₃ t₁ = dist t₃ t₂) (ht₃t₁u : dist t₃ t₁ = dist t₃ u) : False
Problem97.u5_qcritical_exact_selected_right_exact_center_coord_incompatibility	lean/RVOL/P97/U5GlobalIncidenceQCriticalExactSelectedRightExactCenterScalar.lean	21	true	source-proved	theorem u5_qcritical_exact_selected_right_exact_center_coord_incompatibility {q0 q1 a0 a1 b0 b1 c0 c1 u0 u1 R S : ℝ} (hR : 0 < R) (hqq : q0 ^ 2 + q1 ^ 2 = R) (haa : a0 ^ 2 + a1 ^ 2 = R) (hbb : b0 ^ 2 + b1 ^ 2 = R) (hcc : c0 ^ 2 + c1 ^ 2 = R) (hS : u0 ^ 2 + u1 ^ 2 = S) (hqadot : q0 * a0 + q1 * a1 = R / 2) (habdot : a0 * b0 + a1 * b1 = R / 2) (hqudot : q0 * u0 + q1 * u1 = 0) (haudot : a0 * u0 + a1 * u1 = S / 2) (hcat₂_eq : (a0 - c0) ^ 2 + (a1 - c1) ^ 2 = (b0 - c0) ^ 2 + (b1 - c1) ^ 2) (hcatᵤ_eq : (a0 - c0) ^ 2 + (a1 - c1) ^ 2 = (u0 - c0) ^ 2 + (u1 - c1) ^ 2) (hA3_ne_R : a0 * c0 + a1 * c1 ≠ R) (hSpos : 0 < S) (hQ2_ne_R : q0 * b0 + q1 * b1 ≠ R) : False
Problem97.u5_two_qtransport_mutual_delayed_anchor_metric_incompatibility	lean/RVOL/P97/U5GlobalIncidenceQCriticalExactSelectedTwoTransportMutual.lean	29	true	source-proved	theorem u5_two_qtransport_mutual_delayed_anchor_metric_incompatibility {p q t₁ t₂ t₃ u : ℝ²} {r : ℝ} (hr : 0 < r) (hpq : dist p q = r) (hpt₁ : dist p t₁ = r) (hpt₂ : dist p t₂ = r) (hpt₃ : dist p t₃ = r) (hq_ne_t₂ : q ≠ t₂) (ht₁p_t₁t₂ : dist t₁ p = dist t₁ t₂) (ht₁p_t₁u : dist t₁ p = dist t₁ u) (ht₂q_t₂t₃ : dist t₂ q = dist t₂ t₃) (ht₂q_t₂u : dist t₂ q = dist t₂ u) (ht₃q_t₃t₂ : dist t₃ q = dist t₃ t₂) (hup_ut₂ : dist u p = dist u t₂) : False
Problem97.U5QCriticalTripleClass.two_transport_mutual_delayed_anchor_incompatibility	lean/RVOL/P97/U5GlobalIncidenceQCriticalExactSelectedTwoTransportMutual.lean	173	true	source-proved	theorem U5QCriticalTripleClass.two_transport_mutual_delayed_anchor_incompatibility {D : CounterexampleData} {q p t₁ t₂ t₃ u : ℝ²} {T B₁ B₂ B₃ Bu : Finset ℝ²} (htriple : U5DangerousTriple D q p T) (ht₁ : t₁ ∈ T) (ht₂ : t₂ ∈ T) (ht₃ : t₃ ∈ T) (K₁ : U5QDeletedK4Class D q t₁ B₁) (K₂ : U5QCriticalTripleClass D q t₂ B₂) (K₃ : U5QCriticalTripleClass D q t₃ B₃) (Ku : U5QDeletedK4Class D q u Bu) (hpB₁ : p ∈ B₁) (ht₂B₁ : t₂ ∈ B₁) (huB₁ : u ∈ B₁) (ht₃B₂ : t₃ ∈ B₂) (huB₂ : u ∈ B₂) (ht₂B₃ : t₂ ∈ B₃) (hpBu : p ∈ Bu) (ht₂Bu : t₂ ∈ Bu) : False
Problem97.u5_two_qtransport_mutual_delayed_anchor_coord_incompatibility	lean/RVOL/P97/U5GlobalIncidenceQCriticalExactSelectedTwoTransportMutualScalar.lean	26	true	source-proved	theorem u5_two_qtransport_mutual_delayed_anchor_coord_incompatibility {q0 q1 a0 a1 b0 b1 c0 c1 u0 u1 R A U : ℝ} (hR : 0 < R) (hqq : q0 ^ 2 + q1 ^ 2 = R) (haa : a0 ^ 2 + a1 ^ 2 = R) (hbb : b0 ^ 2 + b1 ^ 2 = R) (hcc : c0 ^ 2 + c1 ^ 2 = R) (huu : u0 ^ 2 + u1 ^ 2 = U) (hqb : q0 * b0 + q1 * b1 = A) (hqc : q0 * c0 + q1 * c1 = A) (hbc : b0 * c0 + b1 * c1 = A) (hab : a0 * b0 + a1 * b1 = R / 2) (hau : a0 * u0 + a1 * u1 = U / 2) (hbu : b0 * u0 + b1 * u1 = R / 2) (hU : U = 2 * R - 2 * A) (hA_ne_R : A ≠ R) : False
Problem97.u5_two_qtransport_mutual_no_p_delayed_anchor_metric_incompatibility	lean/RVOL/P97/U5GlobalIncidenceQCriticalExactSelectedTwoTransportNoPDelayed.lean	29	true	source-proved	theorem u5_two_qtransport_mutual_no_p_delayed_anchor_metric_incompatibility {p q t₂ t₃ u d : ℝ²} {r : ℝ} (hr : 0 < r) (hpq : dist p q = r) (hpt₂ : dist p t₂ = r) (hpt₃ : dist p t₃ = r) (hq_ne_t₂ : q ≠ t₂) (ht₂q_t₂t₃ : dist t₂ q = dist t₂ t₃) (ht₂q_t₂u : dist t₂ q = dist t₂ u) (ht₂q_t₂d : dist t₂ q = dist t₂ d) (ht₃q_t₃t₂ : dist t₃ q = dist t₃ t₂) (hdp_hdq : dist d p = dist d q) (hdp_hdu : dist d p = dist d u) (hut₂_hud : dist u t₂ = dist u d) : False
Problem97.U5QCriticalTripleClass.two_transport_mutual_no_p_delayed_anchor_incompatibility	lean/RVOL/P97/U5GlobalIncidenceQCriticalExactSelectedTwoTransportNoPDelayed.lean	195	true	source-proved	theorem U5QCriticalTripleClass.two_transport_mutual_no_p_delayed_anchor_incompatibility {D : CounterexampleData} {q p t₂ t₃ u d : ℝ²} {T B₂ B₃ Bu Bd : Finset ℝ²} (htriple : U5DangerousTriple D q p T) (ht₂ : t₂ ∈ T) (ht₃ : t₃ ∈ T) (K₂ : U5QCriticalTripleClass D q t₂ B₂) (K₃ : U5QCriticalTripleClass D q t₃ B₃) (Ku : U5QDeletedK4Class D q u Bu) (Kd : U5QCriticalTripleClass D q d Bd) (ht₃B₂ : t₃ ∈ B₂) (huB₂ : u ∈ B₂) (hdB₂ : d ∈ B₂) (ht₂B₃ : t₂ ∈ B₃) (ht₂Bu : t₂ ∈ Bu) (hdBu : d ∈ Bu) (hpBd : p ∈ Bd) (huBd : u ∈ Bd) : False
Problem97.u5_two_qtransport_mutual_no_p_delayed_anchor_coord_incompatibility	lean/RVOL/P97/U5GlobalIncidenceQCriticalExactSelectedTwoTransportNoPDelayedScalar.lean	27	true	source-proved	theorem u5_two_qtransport_mutual_no_p_delayed_anchor_coord_incompatibility {q0 q1 b0 b1 c0 c1 d0 d1 R A D : ℝ} (hR : 0 < R) (hqq : q0 ^ 2 + q1 ^ 2 = R) (hbb : b0 ^ 2 + b1 ^ 2 = R) (hcc : c0 ^ 2 + c1 ^ 2 = R) (hdd : d0 ^ 2 + d1 ^ 2 = D) (hqb : q0 * b0 + q1 * b1 = A) (hqc : q0 * c0 + q1 * c1 = A) (hbc : b0 * c0 + b1 * c1 = A) (hqd : q0 * d0 + q1 * d1 = R / 2) (hbd : b0 * d0 + b1 * d1 = (D - R + 2 * A) / 2) (hD : D = 2 * R - 2 * A) (hA_ne_R : A ≠ R) : False
Problem97.u5_two_qtransport_mutual_off_anchor_no_p_delayed_metric_incompatibility	lean/RVOL/P97/U5GlobalIncidenceQCriticalExactSelectedTwoTransportOffAnchor.lean	30	true	source-proved	theorem u5_two_qtransport_mutual_off_anchor_no_p_delayed_metric_incompatibility {p q t₁ t₂ t₃ d e : ℝ²} {r : ℝ} (hr : 0 < r) (hpq : dist p q = r) (hpt₁ : dist p t₁ = r) (hpt₂ : dist p t₂ = r) (hpt₃ : dist p t₃ = r) (hq_ne_t₂ : q ≠ t₂) (ht₁p_t₁t₂ : dist t₁ p = dist t₁ t₂) (ht₂q_t₂t₃ : dist t₂ q = dist t₂ t₃) (ht₂q_t₂d : dist t₂ q = dist t₂ d) (ht₃q_t₃t₂ : dist t₃ q = dist t₃ t₂) (hdp_hdt₁ : dist d p = dist d t₁) (hdp_hde : dist d p = dist d e) (hep_het₁ : dist e p = dist e t₁) (hep_het₂ : dist e p = dist e t₂) (hep_hed : dist e p = dist e d) : False
