Problem97.u5_nontriple_equilateral_on_p_circle_incompatibility	theorem u5_nontriple_equilateral_on_p_circle_incompatibility {D : CounterexampleData} {q p t x : ℝ²} {Bt Bx : Finset ℝ²} (ht_radius : dist p t = dist p q) (hx_off_circle : dist p x ≠ dist p q) (Kt : U5QDeletedK4Class D q t Bt) (Kx : U5QDeletedK4Class D q x Bx) (hpBt : p ∈ Bt) (hxBt : x ∈ Bt) (hpBx : p ∈ Bx) (htBx : t ∈ Bx) : False
Problem97.u5_common_bisector_triple_incompatibility	theorem u5_common_bisector_triple_incompatibility {D : CounterexampleData} {q p x t1 t2 t3 : ℝ²} {Bx : Finset ℝ²} (hr_pos : 0 < dist p q) (hT_noncol : ¬ Collinear ℝ ({t1, t2, t3} : Set ℝ²)) (ht1_radius : dist p t1 = dist p q) (ht2_radius : dist p t2 = dist p q) (ht3_radius : dist p t3 = dist p q) (Kx : U5QDeletedK4Class D q x Bx) (hpBx : p ∈ Bx) (ht1Bx : t1 ∈ Bx) (ht2Bx : t2 ∈ Bx) (ht3Bx : t3 ∈ Bx) : False
Problem97.U5QCriticalTripleClass.two_triple_centers_adjacent_incompatibility	theorem U5QCriticalTripleClass.two_triple_centers_adjacent_incompatibility {D : CounterexampleData} {q p t₁ t₂ : ℝ²} {T B₁ B₂ : Finset ℝ²} (htriple : U5DangerousTriple D q p T) (ht₁ : t₁ ∈ T) (ht₂ : t₂ ∈ T) (K₁ : U5QCriticalTripleClass D q t₁ B₁) (K₂ : U5QCriticalTripleClass D q t₂ B₂) (hpB₁ : p ∈ B₁) (hpB₂ : p ∈ B₂) (hadj : t₂ ∈ B₁ ∨ t₁ ∈ B₂) : False
Problem97.U5QCriticalTripleClass.two_triple_centers_third_common_incompatibility	theorem U5QCriticalTripleClass.two_triple_centers_third_common_incompatibility {D : CounterexampleData} {q p t₁ t₂ t₃ : ℝ²} {T B₁ B₂ : Finset ℝ²} (htriple : U5DangerousTriple D q p T) (_ht₁ : t₁ ∈ T) (_ht₂ : t₂ ∈ T) (ht₃ : t₃ ∈ T) (ht₁₂ : t₁ ≠ t₂) (K₁ : U5QCriticalTripleClass D q t₁ B₁) (K₂ : U5QCriticalTripleClass D q t₂ B₂) (hpB₁ : p ∈ B₁) (hpB₂ : p ∈ B₂) (ht₃B₁ : t₃ ∈ B₁) (ht₃B₂ : t₃ ∈ B₂) : False
Problem97.U5QCriticalTripleClass.qcritical_exact_exact_aux_center_incompatibility	theorem U5QCriticalTripleClass.qcritical_exact_exact_aux_center_incompatibility {D : CounterexampleData} {q p t₁ t₂ t₃ a : ℝ²} {T B₁ B₂ B₃ Ba : Finset ℝ²} (htriple : U5DangerousTriple D q p T) (ht₁ : t₁ ∈ T) (ht₂ : t₂ ∈ T) (ht₃ : t₃ ∈ T) (ht₁_ne_t₃ : t₁ ≠ t₃) (K₁ : U5QCriticalTripleClass D q t₁ B₁) (K₂ : U5QDeletedK4Class D q t₂ B₂) (K₃ : U5QDeletedK4Class D q t₃ B₃) (Ka : U5QCriticalTripleClass D q a Ba) (hpB₁ : p ∈ B₁) (ht₂B₁ : t₂ ∈ B₁) (hpB₂ : p ∈ B₂) (ht₃B₂ : t₃ ∈ B₂) (hpB₃ : p ∈ B₃) (haB₃ : a ∈ B₃) (hpBa : p ∈ Ba) : False
Problem97.U5QCriticalTripleClass.qcritical_exact_qcritical_antipodal_incompatibility	theorem U5QCriticalTripleClass.qcritical_exact_qcritical_antipodal_incompatibility {D : CounterexampleData} {q p t₁ t₂ t₃ : ℝ²} {T B₁ B₂ B₃ : Finset ℝ²} (htriple : U5DangerousTriple D q p T) (ht₁ : t₁ ∈ T) (ht₂ : t₂ ∈ T) (ht₃ : t₃ ∈ T) (ht₁_ne_t₃ : t₁ ≠ t₃) (K₁ : U5QCriticalTripleClass D q t₁ B₁) (K₂ : U5QDeletedK4Class D q t₂ B₂) (K₃ : U5QCriticalTripleClass D q t₃ B₃) (hpB₁ : p ∈ B₁) (ht₂B₁ : t₂ ∈ B₁) (hpB₂ : p ∈ B₂) (ht₃B₂ : t₃ ∈ B₂) (ht₁B₃ : t₁ ∈ B₃) : False
Problem97.U5QCriticalTripleClass.qcritical_exact_aux_collinear_incompatibility	theorem U5QCriticalTripleClass.qcritical_exact_aux_collinear_incompatibility {D : CounterexampleData} {q p t₁ t₂ u a : ℝ²} {T B₁ B₂ Ba : Finset ℝ²} (htriple : U5DangerousTriple D q p T) (hsel : U5SelectedCandidateSkeleton D q p T u) (ht₁ : t₁ ∈ T) (ht₂ : t₂ ∈ T) (K₁ : U5QCriticalTripleClass D q t₁ B₁) (K₂ : U5QDeletedK4Class D q t₂ B₂) (Ka : U5QCriticalTripleClass D q a Ba) (hpB₁ : p ∈ B₁) (ht₂B₁ : t₂ ∈ B₁) (huB₁ : u ∈ B₁) (hpB₂ : p ∈ B₂) (huB₂ : u ∈ B₂) (ht₁Ba : t₁ ∈ Ba) (huBa : u ∈ Ba) : False
Problem97.U5QCriticalTripleClass.qcritical_exact_tail_radius_incompatibility	theorem U5QCriticalTripleClass.qcritical_exact_tail_radius_incompatibility {D : CounterexampleData} {q p t₁ t₂ t₃ u a : ℝ²} {T B₁ B₂ B₃ Bu Ba : Finset ℝ²} (htriple : U5DangerousTriple D q p T) (hsel : U5SelectedCandidateSkeleton D q p T u) (ht₁ : t₁ ∈ T) (ht₂ : t₂ ∈ T) (ht₃ : t₃ ∈ T) (K₁ : U5QCriticalTripleClass D q t₁ B₁) (K₂ : U5QDeletedK4Class D q t₂ B₂) (K₃ : U5QDeletedK4Class D q t₃ B₃) (Ku : U5QCriticalTripleClass D q u Bu) (Ka : U5QDeletedK4Class D q a Ba) (hpB₁ : p ∈ B₁) (ht₂B₁ : t₂ ∈ B₁) (huB₁ : u ∈ B₁) (hpB₂ : p ∈ B₂) (huB₂ : u ∈ B₂) (hpB₃ : p ∈ B₃) (haB₃ : a ∈ B₃) (haBu : a ∈ Bu) (ht₃Ba : t₃ ∈ Ba) (huBa : u ∈ Ba) : False
Problem97.U5QCriticalTripleClass.qcritical_exact_selected_center_incompatibility	theorem U5QCriticalTripleClass.qcritical_exact_selected_center_incompatibility {D : CounterexampleData} {q p t₁ t₂ u : ℝ²} {T B₁ B₂ Bu : Finset ℝ²} (htriple : U5DangerousTriple D q p T) (hsel : U5SelectedCandidateSkeleton D q p T u) (ht₁ : t₁ ∈ T) (ht₂ : t₂ ∈ T) (K₁ : U5QCriticalTripleClass D q t₁ B₁) (K₂ : U5QDeletedK4Class D q t₂ B₂) (Ku : U5QCriticalTripleClass D q u Bu) (hpB₁ : p ∈ B₁) (ht₂B₁ : t₂ ∈ B₁) (huB₁ : u ∈ B₁) (hpB₂ : p ∈ B₂) (huB₂ : u ∈ B₂) (ht₂Bu : t₂ ∈ Bu) : False
Problem97.U5QCriticalTripleClass.qcritical_exact_selected_antipodal_incompatibility	theorem U5QCriticalTripleClass.qcritical_exact_selected_antipodal_incompatibility {D : CounterexampleData} {q p t₁ t₂ t₃ u : ℝ²} {T B₁ B₂ Bu : Finset ℝ²} (htriple : U5DangerousTriple D q p T) (hsel : U5SelectedCandidateSkeleton D q p T u) (ht₁ : t₁ ∈ T) (ht₂ : t₂ ∈ T) (ht₃ : t₃ ∈ T) (ht₁_ne_t₃ : t₁ ≠ t₃) (K₁ : U5QCriticalTripleClass D q t₁ B₁) (K₂ : U5QDeletedK4Class D q t₂ B₂) (Ku : U5QDeletedK4Class D q u Bu) (hpB₁ : p ∈ B₁) (ht₂B₁ : t₂ ∈ B₁) (huB₁ : u ∈ B₁) (hpB₂ : p ∈ B₂) (ht₃B₂ : t₃ ∈ B₂) (huB₂ : u ∈ B₂) (ht₁Bu : t₁ ∈ Bu) (ht₃Bu : t₃ ∈ Bu) : False
