Problem97.u5ModeADeletion_orderResidual_of_largeCapInterior	lean/RVOL/P97/C5D3BBoundedRecovery.lean	74	source-proved	theorem u5ModeADeletion_orderResidual_of_largeCapInterior {D : CounterexampleData} {z : ℝ²} (hmin : D.Minimal) (hM44 : D.IsM44) (hU2 : U2Statement D) (hModeA : U5ModeA D) (hDel : U5ModeADeletion D) (hzLarge : z ∈ largeCapInterior D) : ∃ p ∈ D.A, p ∉ ({D.packet.triangle.v1, D.packet.triangle.v2, D.packet.triangle.v3, z} : Finset ℝ²) ∧ muP (D.skeleton z) p = 3 ∧ (∃ r : ℝ, 0 < r ∧ dist p z = r ∧ (((D.skeleton z).erase p).filter (fun y => dist p y = r)).card = 3) ∧ U5StrictOrderViolation D z p
Problem97.false_of_largeCapInterior_localSameCircleOrAuditedSupport	lean/RVOL/P97/C5D3BBoundedRecovery.lean	109	source-proved	theorem false_of_largeCapInterior_localSameCircleOrAuditedSupport {D : CounterexampleData} {z : ℝ²} (hmin : D.Minimal) (hM44 : D.IsM44) (hU2 : U2Statement D) (hModeA : U5ModeA D) (hDel : U5ModeADeletion D) (hzLarge : z ∈ largeCapInterior D) (hpayload : ∀ {p : ℝ²}, p ∈ D.A → p ∉ ({D.packet.triangle.v1, D.packet.triangle.v2, D.packet.triangle.v3, z} : Finset ℝ²) → muP (D.skeleton z) p = 3 → U3LocalizedNoQFreePacket.localSameCircleOrAuditedSupport D z p) : False
Problem97.false_of_largeCapInterior_u5ResidualLocalPayloadCandidate	lean/RVOL/P97/C5D3BBoundedRecovery.lean	146	source-proved	theorem false_of_largeCapInterior_u5ResidualLocalPayloadCandidate {D : CounterexampleData} {z : ℝ²} (hmin : D.Minimal) (hM44 : D.IsM44) (hU2 : U2Statement D) (hModeA : U5ModeA D) (hDel : U5ModeADeletion D) (hzLarge : z ∈ largeCapInterior D) (hpayload : ∀ {p : ℝ²}, p ∈ D.A → p ∉ ({D.packet.triangle.v1, D.packet.triangle.v2, D.packet.triangle.v3, z} : Finset ℝ²) → muP (D.skeleton z) p = 3 → U5ResidualLocalPayloadCandidate D z p) : False
Problem97.u5ResidualLocalPayloadCandidate_iff_auditedSupport_of_largeCapResidual	lean/RVOL/P97/C5D3BBoundedRecovery.lean	173	source-proved	theorem u5ResidualLocalPayloadCandidate_iff_auditedSupport_of_largeCapResidual {D : CounterexampleData} {z p : ℝ²} (hzLarge : z ∈ largeCapInterior D) (hpA : p ∈ D.A) (hpnot : p ∉ ({D.packet.triangle.v1, D.packet.triangle.v2, D.packet.triangle.v3, z} : Finset ℝ²)) (hmu : muP (D.skeleton z) p = 3) : U5ResidualLocalPayloadCandidate D z p ↔ ∃ (T : Finset ℝ²) (u : ℝ²), U5DangerousTriple D z p T ∧ U5SelectedCandidateSkeleton D z p T u ∧ Nonempty (U5BoundedAuditSupport D z p T u)
Problem97.u5ResidualLocalPayloadCandidate_iff_confinedK4AuditPayload_of_largeCapResidual	lean/RVOL/P97/C5D3BBoundedRecovery.lean	199	source-proved	theorem u5ResidualLocalPayloadCandidate_iff_confinedK4AuditPayload_of_largeCapResidual {D : CounterexampleData} {z p : ℝ²} (hzLarge : z ∈ largeCapInterior D) (hpA : p ∈ D.A) (hpnot : p ∉ ({D.packet.triangle.v1, D.packet.triangle.v2, D.packet.triangle.v3, z} : Finset ℝ²)) (hmu : muP (D.skeleton z) p = 3) : U5ResidualLocalPayloadCandidate D z p ↔ ∃ (T : Finset ℝ²) (u : ℝ²), U5DangerousTriple D z p T ∧ U5SelectedCandidateSkeleton D z p T u ∧ Nonempty (U5ConfinedK4AuditPayload D z p T u)
Problem97.u5LargeCapResidualPayloadCore_iff_localPayloadCandidate	lean/RVOL/P97/C5D3BBoundedRecovery.lean	250	source-proved	theorem u5LargeCapResidualPayloadCore_iff_localPayloadCandidate {D : CounterexampleData} : U5LargeCapResidualPayloadCore D ↔ D.Minimal → D.IsM44 → U2Statement D → U5ModeA D → U5ModeADeletion D → ∀ {z p : ℝ²}, z ∈ largeCapInterior D → p ∈ D.A → p ∉ ({D.packet.triangle.v1, D.packet.triangle.v2, D.packet.triangle.v3, z} : Finset ℝ²) → muP (D.skeleton z) p = 3 → U5ResidualLocalPayloadCandidate D z p
Problem97.C5D3B.payloadLargeCapInteriorBoundedRecoveryAt_of_orderResidual	lean/RVOL/P97/C5D3BBoundedRecovery.lean	1131	source-proved	theorem payloadLargeCapInteriorBoundedRecoveryAt_of_orderResidual {D : CounterexampleData} {q v1 v3 qs w u x : ℝ²} {W : C5D3B.PayloadAuxWitness D q v3 ({v1, qs, w} : Finset ℝ²) u} (hmin : D.Minimal) (hM44 : D.IsM44) (hU2 : U2Statement D) (hModeA : U5ModeA D) (hDel : U5ModeADeletion D) (horder : ∀ {B : Finset ℝ²} {z p : ℝ²}, U5QAllowedK4Class D x B → B.card = 4 → z ∈ B → C5D3B.payloadFreshWitnessData D q v3 ({v1, qs, w} : Finset ℝ²) u W.a0 W.a1 x z → z ∉ U5QAllowedBoundedSupport D q v3 ({v1, qs, w} : Finset ℝ²) u W.a0 W.a1 → z ∈ largeCapInterior D → p ∈ D.A → p ∉ ({D.packet.triangle.v1, D.packet.triangle.v2, D.packet.triangle.v3, z} : Finset ℝ²) → muP (D.skeleton z) p = 3 → (∃ r : ℝ, 0 < r ∧ dist p z = r ∧ (((D.skeleton z).erase p).filter (fun y => dist p y = r)).card = 3) → U5StrictOrderViolation D z p → C5D3B.payloadConfinedClassAt D q v3 ({v1, qs, w} : Finset ℝ²) u W.a0 W.a1 x) : C5D3B.payloadLargeCapInteriorBoundedRecoveryAt D q v1 v3 qs w u W x
Problem97.C5D3B.payloadLargeCapInteriorBoundedRecoveryAt_of_noOrderResidual	lean/RVOL/P97/C5D3BBoundedRecovery.lean	1175	source-proved	theorem payloadLargeCapInteriorBoundedRecoveryAt_of_noOrderResidual {D : CounterexampleData} {q v1 v3 qs w u x : ℝ²} {W : C5D3B.PayloadAuxWitness D q v3 ({v1, qs, w} : Finset ℝ²) u} (hmin : D.Minimal) (hM44 : D.IsM44) (hU2 : U2Statement D) (hModeA : U5ModeA D) (hDel : U5ModeADeletion D) (hNoOrder : ∀ {z p : ℝ²}, z ∈ largeCapInterior D → p ∈ D.A → p ∉ ({D.packet.triangle.v1, D.packet.triangle.v2, D.packet.triangle.v3, z} : Finset ℝ²) → muP (D.skeleton z) p = 3 → (∃ r : ℝ, 0 < r ∧ dist p z = r ∧ (((D.skeleton z).erase p).filter (fun y => dist p y = r)).card = 3) → ¬ U5StrictOrderViolation D z p) : C5D3B.payloadLargeCapInteriorBoundedRecoveryAt D q v1 v3 qs w u W x
Problem97.C5D3B.payloadLargeCapInteriorBoundedRecoveryAt_of_localPayloadCandidate	lean/RVOL/P97/C5D3BBoundedRecovery.lean	1209	source-proved	theorem payloadLargeCapInteriorBoundedRecoveryAt_of_localPayloadCandidate {D : CounterexampleData} {q v1 v3 qs w u x : ℝ²} {W : C5D3B.PayloadAuxWitness D q v3 ({v1, qs, w} : Finset ℝ²) u} (hmin : D.Minimal) (hM44 : D.IsM44) (hU2 : U2Statement D) (hModeA : U5ModeA D) (hDel : U5ModeADeletion D) (hPayload : ∀ {z p : ℝ²}, z ∈ largeCapInterior D → p ∈ D.A → p ∉ ({D.packet.triangle.v1, D.packet.triangle.v2, D.packet.triangle.v3, z} : Finset ℝ²) → muP (D.skeleton z) p = 3 → U5ResidualLocalPayloadCandidate D z p) : C5D3B.payloadLargeCapInteriorBoundedRecoveryAt D q v1 v3 qs w u W x
Problem97.C5D3B.false_of_payloadClassEscapesAt_largeCapInteriorBoundedRecovery	lean/RVOL/P97/C5D3BBoundedRecovery.lean	2021	source-proved	theorem false_of_payloadClassEscapesAt_largeCapInteriorBoundedRecovery {D : CounterexampleData} {q v1 v3 qs w u x z : ℝ²} {W : C5D3B.PayloadAuxWitness D q v3 ({v1, qs, w} : Finset ℝ²) u} {B : Finset ℝ²} (hesc : C5D3B.payloadClassEscapesAt D q v3 ({v1, qs, w} : Finset ℝ²) u W.a0 W.a1 x) (hrec : C5D3B.payloadLargeCapInteriorBoundedRecoveryAt D q v1 v3 qs w u W x) (K : U5QAllowedK4Class D x B) (hBcard : B.card = 4) (hzB : z ∈ B) (hfresh : C5D3B.payloadFreshWitnessData D q v3 ({v1, qs, w} : Finset ℝ²) u W.a0 W.a1 x z) (hout : z ∉ U5QAllowedBoundedSupport D q v3 ({v1, qs, w} : Finset ℝ²) u W.a0 W.a1) (hzLarge : z ∈ largeCapInterior D) : False
