Problem97.C5D3B.partnerApex_center_false_of_minimal_u3	lean/RVOL/P97/C5D3BC2LargeCapInterior.lean	1507	theorem partnerApex_center_false_of_minimal_u3 {D : CounterexampleData} {i : Fin 2} {x : ℝ²} {B : Finset ℝ²} (hM44 : D.IsM44) (hU2 : U2Statement D) (hmin : D.Minimal) (hU3 : U3ShortCapSaturation D) (K : U5QAllowedK4Class D x B) (hx : x = partnerApex D i) : False
Problem97.C5D3B.rowCrossingLeft_empty_of_rowCircle_mec	lean/RVOL/P97/C5D3BPacket.lean	1063	theorem rowCrossingLeft_empty_of_rowCircle_mec {D : CounterexampleData} {q v1 v3 qs w u : ℝ²} (row : C5D3BTerminalPacket D q v1 v3 qs w u) (M : CircumscribedMECPacket D.A D.packet.triangle) {x y h : ℝ} (hh_pos : 0 < h) (hv3Coord : v3 = normalizedPoint 0 0) (hqCoord : q = normalizedPoint 1 0) (hv1Coord : v1 = normalizedPoint ((1 : ℝ) / 2) h) (hqsCoord : qs = normalizedPoint ((1 : ℝ) / 2) (-h)) (huCoord : u = normalizedPoint x y) (hcenter : M.center = normalizedPoint 0 0) (hradius : M.radius = 1) (hleft : 0 < signedArea2 v1 qs u) : False
Problem97.C5D3BEndpointCutInputs.fixedLaneLeft_empty_of_uIndex_rowCircle_mec	lean/RVOL/P97/C5D3BPacket.lean	1939	theorem fixedLaneLeft_empty_of_uIndex_rowCircle_mec {D : CounterexampleData} {q v1 v3 qs w u : ℝ²} (P : C5D3BEndpointCutInputs D q v1 v3 qs w u) (M : CircumscribedMECPacket D.A D.packet.triangle) {x y h : ℝ} (hh_pos : 0 < h) (hfirst : P.setup.oriented.endpoints.C1Block.L.points (CGN.firstIndex P.setup.oriented.endpoints.C1Block.Hord.hm) = C5D3B.normalizedPoint ((1 : ℝ) / 2) h) (hlast : P.setup.oriented.endpoints.C1Block.L.points (CGN.lastIndex P.setup.oriented.endpoints.C1Block.Hord.hm) = C5D3B.normalizedPoint ((1 : ℝ) / 2) (-h)) (hv3Coord : v3 = C5D3B.normalizedPoint 0 0) (hqCoord : q = C5D3B.normalizedPoint 1 0) (huCoord : u = C5D3B.normalizedPoint x y) (hcenter : M.center = C5D3B.normalizedPoint 0 0) (hradius : M.radius = 1) : False
Problem97.C5D3B.qAllowedSelected_w_center_q_anchor_mem_v3_false	lean/RVOL/P97/C5D3BPacket.lean	13115	theorem qAllowedSelected_w_center_q_anchor_mem_v3_false {D : CounterexampleData} {q v1 v3 qs w u s t a : ℝ²} (P : C5D3BSameSideTerminalPacket D q v1 v3 qs w u) (H : U5QAllowedAuditSupport D q v3 ({v1, qs, w} : Finset ℝ²) u) {hs : s ∈ U5BoundedAuditCenters D q v3 ({v1, qs, w} : Finset ℝ²) u H.a0 H.a1} (hsw : s = w) (haq : a = q) (hsPair : ((H.selected_classes s hs).1 ∩ (({q, w, H.a0, H.a1} : Finset ℝ²).erase s)) = ({t, a} : Finset ℝ²)) (hv3B : v3 ∈ (H.selected_classes s hs).1) : False
Problem97.C5D3B.qAllowedSelected_w_center_q_anchor_v3_pair_false	lean/RVOL/P97/C5D3BPacket.lean	13159	theorem qAllowedSelected_w_center_q_anchor_v3_pair_false {D : CounterexampleData} {q v1 v3 qs w u s t a r b : ℝ²} (P : C5D3BSameSideTerminalPacket D q v1 v3 qs w u) (H : U5QAllowedAuditSupport D q v3 ({v1, qs, w} : Finset ℝ²) u) {hs : s ∈ U5BoundedAuditCenters D q v3 ({v1, qs, w} : Finset ℝ²) u H.a0 H.a1} (hsw : s = w) (haq : a = q) (hB : (H.selected_classes s hs).1 = ({t, a} : Finset ℝ²) ∪ ({r, b} : Finset ℝ²)) (hv3pair : v3 ∈ ({r, b} : Finset ℝ²)) : False
Problem97.C5D3B.qAllowedSelected_full_w_center_common_v3_false	lean/RVOL/P97/C5D3BPacket.lean	16080	theorem qAllowedSelected_full_w_center_common_v3_false {D : CounterexampleData} {q v1 v3 qs w u s t r : ℝ²} (P : C5D3BSameSideTerminalPacket D q v1 v3 qs w u) (H : U5QAllowedAuditSupport D q v3 ({v1, qs, w} : Finset ℝ²) u) {hs : s ∈ U5BoundedAuditCenters D q v3 ({v1, qs, w} : Finset ℝ²) u H.a0 H.a1} {ht : t ∈ U5BoundedAuditCenters D q v3 ({v1, qs, w} : Finset ℝ²) u H.a0 H.a1} (htw : t = w) (htfull : ((H.selected_classes t ht).1 ∩ (({q, w, H.a0, H.a1} : Finset ℝ²).erase t)) = (({q, w, H.a0, H.a1} : Finset ℝ²).erase t)) (hr : r ∈ (((H.selected_classes s hs).1 ∩ (H.selected_classes t ht).1) ∩ ({v3, v1, qs, u} : Finset ℝ²))) (hrv3 : r = v3) : False
Problem97.C5D3B.qAllowedSelected_w_center_q_anchor_crossing_pair_false	lean/RVOL/P97/C5D3BPacket.lean	17966	theorem qAllowedSelected_w_center_q_anchor_crossing_pair_false {D : CounterexampleData} {q v1 v3 qs w u s t a r b : ℝ²} (P : C5D3BSameSideTerminalPacket D q v1 v3 qs w u) (H : U5QAllowedAuditSupport D q v3 ({v1, qs, w} : Finset ℝ²) u) {hs : s ∈ U5BoundedAuditCenters D q v3 ({v1, qs, w} : Finset ℝ²) u H.a0 H.a1} (hsw : s = w) (haq : a = q) (hB : (H.selected_classes s hs).1 = ({t, a} : Finset ℝ²) ∪ ({r, b} : Finset ℝ²)) (hcross : (b = v1 ∧ r = qs) ∨ (b = qs ∧ r = v1)) : False
Problem97.C5D3B.qAllowedSelected_full_center_q_anchor_common_crossing_false	lean/RVOL/P97/C5D3BPacket.lean	18639	theorem qAllowedSelected_full_center_q_anchor_common_crossing_false {D : CounterexampleData} {q v1 v3 qs w u s t r : ℝ²} (P : C5D3BSameSideTerminalPacket D q v1 v3 qs w u) (H : U5QAllowedAuditSupport D q v3 ({v1, qs, w} : Finset ℝ²) u) {ht : t ∈ U5BoundedAuditCenters D q v3 ({v1, qs, w} : Finset ℝ²) u H.a0 H.a1} (htrow : t ∈ ({w, H.a0, H.a1} : Finset ℝ²)) (hst : s ≠ t) (htfull : ((H.selected_classes t ht).1 ∩ (({q, w, H.a0, H.a1} : Finset ℝ²).erase t)) = (({q, w, H.a0, H.a1} : Finset ℝ²).erase t)) (hsw : s = w) (hrcross : r = v1 ∨ r = qs) (htrw : dist t r = dist t w) : False
Problem97.C5D3B.rowCircleTailQAnchorAlignedCells_false	lean/RVOL/P97/C5D3BPacket.lean	28876	theorem rowCircleTailQAnchorAlignedCells_false {D : CounterexampleData} {q v1 v3 qs w u s t a b r : ℝ²} (P : C5D3BSameSideTerminalPacket D q v1 v3 qs w u) {H : U5QAllowedAuditSupport D q v3 ({v1, qs, w} : Finset ℝ²) u} {hs : s ∈ U5BoundedAuditCenters D q v3 ({v1, qs, w} : Finset ℝ²) u H.a0 H.a1} {ht : t ∈ U5BoundedAuditCenters D q v3 ({v1, qs, w} : Finset ℝ²) u H.a0 H.a1} (hcell : C5D3B.rowCircleTailQAnchorAlignedCells D q v1 v3 qs w u s t a b r H hs ht) : False
Problem97.C5D3B.qAllowedSelected_exact_pair_w_q_anchor_crossing_false	lean/RVOL/P97/C5D3BPacket.lean	31140	theorem qAllowedSelected_exact_pair_w_q_anchor_crossing_false {D : CounterexampleData} {q v1 v3 qs w u s t a r : ℝ²} (P : C5D3BSameSideTerminalPacket D q v1 v3 qs w u) (H : U5QAllowedAuditSupport D q v3 ({v1, qs, w} : Finset ℝ²) u) (hs : s ∈ U5BoundedAuditCenters D q v3 ({v1, qs, w} : Finset ℝ²) u H.a0 H.a1) (ht : t ∈ U5BoundedAuditCenters D q v3 ({v1, qs, w} : Finset ℝ²) u H.a0 H.a1) (hsrow : s ∈ ({w, H.a0, H.a1} : Finset ℝ²)) (hstwo : (((H.selected_classes s hs).1) ∩ (({q, w, H.a0, H.a1} : Finset ℝ²).erase s)).card = 2) (haA : a ∈ ({q, w, H.a0, H.a1} : Finset ℝ²)) (hsProfile : ((H.selected_classes s hs).1 ∩ (({q, w, H.a0, H.a1} : Finset ℝ²).erase s)) = ({t, a} : Finset ℝ²)) (hInter : (H.selected_classes s hs).1 ∩ (H.selected_classes t ht).1 = ({a, r} : Finset ℝ²)) (hr : r ∈ (((H.selected_classes s hs).1 ∩ (H.selected_classes t ht).1) ∩ ({v3, v1, qs, u} : Finset ℝ²))) (hsw : s = w) (haq : a = q) (hr_cross : r = v1 ∨ r = qs) : False
